census_tract_number,pct_denied_2015,pct_own_occupied_loan_2015,median_loan_amt_2015,pct_refinancing_2015,pct_denied_2010,pct_own_occupied_loan_2010,median_loan_amt_2010,pct_refinancing_2010
8035.12,17.287234042553195,96.80851063829788,244000,59.840425531914896,17.287234042553195,96.80851063829788,244000,59.840425531914896
8035.13,22.02797202797203,94.4055944055944,165500,55.59440559440559,22.02797202797203,94.4055944055944,165500,55.59440559440559
8035.14,22.535211267605636,95.4225352112676,223000,60.2112676056338,22.535211267605636,95.4225352112676,223000,60.2112676056338
8035.15,19.6875,95.9375,265000,61.875,19.6875,95.9375,265000,61.875
8035.16,16.180371352785148,97.61273209549071,238000,60.742705570291776,16.180371352785148,97.61273209549071,238000,60.742705570291776
8035.17,19.904458598726116,97.45222929936305,270000,63.853503184713375,19.904458598726116,97.45222929936305,270000,63.853503184713375
8035.18,21.561338289962826,95.53903345724906,196000,52.04460966542751,21.561338289962826,95.53903345724906,196000,52.04460966542751
8035.19,16.049382716049383,97.11934156378601,257000,45.267489711934154,16.049382716049383,97.11934156378601,257000,45.267489711934154
8036.01,24.663677130044842,97.30941704035875,216000,67.71300448430493,24.663677130044842,97.30941704035875,216000,67.71300448430493
8036.02,36.36363636363637,94.54545454545455,166000,69.0909090909091,36.36363636363637,94.54545454545455,166000,69.0909090909091
8036.05,23.964497041420117,96.15384615384616,175000,42.30769230769231,23.964497041420117,96.15384615384616,175000,42.30769230769231
8036.06,22.80130293159609,98.0456026058632,192000,47.55700325732899,22.80130293159609,98.0456026058632,192000,47.55700325732899
8036.07,18.75,97.91666666666666,203500,64.58333333333334,18.75,97.91666666666666,203500,64.58333333333334
8036.08,18.30065359477124,94.44444444444444,179000,51.307189542483655,18.30065359477124,94.44444444444444,179000,51.307189542483655
8036.10,20.26143790849673,98.69281045751634,196000,45.09803921568628,20.26143790849673,98.69281045751634,196000,45.09803921568628
8036.12,26.41509433962264,94.33962264150944,114000,41.509433962264154,26.41509433962264,94.33962264150944,114000,41.509433962264154
8036.13,27.857142857142858,95,145500,56.42857142857143,27.857142857142858,95,145500,56.42857142857143
8037.00,17.647058823529413,96.07843137254902,152000,41.830065359477125,17.647058823529413,96.07843137254902,152000,41.830065359477125
8038.01,17.94871794871795,96.58119658119658,143000,36.75213675213676,17.94871794871795,96.58119658119658,143000,36.75213675213676
8038.03,22.968197879858657,94.34628975265018,147000,40.63604240282685,22.968197879858657,94.34628975265018,147000,40.63604240282685
8039.00,22,92,152000,28.000000000000004,22,92,152000,28.000000000000004
8040.01,24.390243902439025,92.6829268292683,140000,46.34146341463415,24.390243902439025,92.6829268292683,140000,46.34146341463415
8040.02,23.18840579710145,96.37681159420289,160000,43.47826086956522,23.18840579710145,96.37681159420289,160000,43.47826086956522
8041.01,17.21311475409836,96.72131147540983,237500,68.85245901639344,17.21311475409836,96.72131147540983,237500,68.85245901639344
8041.02,19.855595667870034,95.66787003610109,166000,44.4043321299639,19.855595667870034,95.66787003610109,166000,44.4043321299639
8042.00,9.433962264150944,93.86792452830188,198000,62.264150943396224,9.433962264150944,93.86792452830188,198000,62.264150943396224
8043.00,37.28813559322034,93.22033898305084,133000,52.54237288135594,37.28813559322034,93.22033898305084,133000,52.54237288135594
8044.00,24.375,96.875,134000,53.125,24.375,96.875,134000,53.125
8046.00,26.11464968152866,94.90445859872611,147000,48.40764331210191,26.11464968152866,94.90445859872611,147000,48.40764331210191
8047.00,20.418848167539267,95.28795811518324,197000,63.87434554973822,20.418848167539267,95.28795811518324,197000,63.87434554973822
8048.00,0,100,10000,0,0,100,10000,0
8049.00,21.428571428571427,95.91836734693877,192500,63.26530612244898,21.428571428571427,95.91836734693877,192500,63.26530612244898
8050.00,15.88235294117647,97.05882352941177,163000,38.82352941176471,15.88235294117647,97.05882352941177,163000,38.82352941176471
8051.01,17.97752808988764,97.75280898876404,141000,31.46067415730337,17.97752808988764,97.75280898876404,141000,31.46067415730337
8052.01,21.27659574468085,98.581560283687935,175000,46.09929078014184,21.27659574468085,98.581560283687935,175000,46.09929078014184
8052.02,23.214285714285715,98.21428571428571,178500,50,23.214285714285715,98.21428571428571,178500,50
8055.00,20,91.81818181818183,172500,47.27272727272727,20,91.81818181818183,172500,47.27272727272727
8056.01,18.181818181818183,90.9090909090909,142000,36.36363636363637,18.181818181818183,90.9090909090909,142000,36.36363636363637
8056.02,45.45454545454545,81.81818181818183,78000,45.45454545454545,45.45454545454545,81.81818181818183,78000,45.45454545454545
8057.00,26.70807453416149,93.7888198757764,149000,48.4472049689441,26.70807453416149,93.7888198757764,149000,48.4472049689441
8058.01,27.52808988764045,90.4494382022472,147000,38.764044943820224,27.52808988764045,90.4494382022472,147000,38.764044943820224
8058.02,24.666666666666668,97.33333333333334,163500,37.333333333333336,24.666666666666668,97.33333333333334,163500,37.333333333333336
8059.01,17.75700934579439,89.7196261682243,202000,62.616822429906534,17.75700934579439,89.7196261682243,202000,62.616822429906534
8059.04,15.300546448087433,90.7103825136612,190000,51.36612021857923,15.300546448087433,90.7103825136612,190000,51.36612021857923
8059.05,38.82352941176471,83.52941176470588,92000,48.23529411764706,38.82352941176471,83.52941176470588,92000,48.23529411764706
8060.00,20.379146919431278,92.41706161137441,155000,44.07582938388626,20.379146919431278,92.41706161137441,155000,44.07582938388626
8061.00,17.62295081967213,96.31147540983606,192000,62.704918032786885,17.62295081967213,96.31147540983606,192000,62.704918032786885
8062.00,16.26984126984127,95.63492063492063,241500,61.904761904761905,16.26984126984127,95.63492063492063,241500,61.904761904761905
8063.00,15.384615384615385,97.43589743589743,183000,45.2991452991453,15.384615384615385,97.43589743589743,183000,45.2991452991453
8064.00,10.631229235880399,92.69102990033223,296000,77.40863787375415,10.631229235880399,92.69102990033223,296000,77.40863787375415
8065.01,19.402985074626866,86.56716417910447,174000,55.970149253731336,19.402985074626866,86.56716417910447,174000,55.970149253731336
8066.01,16.528925619834713,92.56198347107438,140000,33.057851239669425,16.528925619834713,92.56198347107438,140000,33.057851239669425
8066.02,14.285714285714285,97.71428571428571,168000,41.714285714285715,14.285714285714285,97.71428571428571,168000,41.714285714285715
8067.03,50,62.5,55000,25,50,62.5,55000,25
8067.06,21.85792349726776,93.44262295081968,167000,65.57377049180327,21.85792349726776,93.44262295081968,167000,65.57377049180327
